cntry_name,cntry_iso,bcm_sum_up,flr_cnt_up,bcm_sum_dn,flr_cnt_dn,bcm_sum_al,flr_cnt_al
Russian Federation,RUS,24.0910151,2226,0.411774431,84,24.50278953,2310
Iraq,IRQ,17.72962877,223,0.184677775,8,17.91430655,231
Iran,IRN,16.40516855,429,1.058360897,13,17.46352944,442
Venezuela,VEN,9.349642401,180,1.074698777,16,10.42434118,196
Algeria,DZA,8.481987136,328,1.432102957,14,9.914090093,342
United States,USA,8.801553488,9199,0.470585948,154,9.272139436,9353
Nigeria,NGA,7.130158132,203,0.297492097,5,7.427650229,208
Mexico,MEX,4.775545108,236,1.142866775,15,5.918411883,251
Angola,AGO,4.138484166,68,0.356462485,2,4.494946651,70
Malaysia,MYS,2.989805415,81,0.522284019,12,3.512089434,93
Saudi Arabia,SAU,2.381626446,528.5,0.809297205,21,3.190923651,549.5
Egypt,EGY,2.772484051,199,0.326902809,21,3.09938686,220
Indonesia,IDN,2.562573109,272,0.388007034,13,2.950580143,285
Oman,OMN,2.780946559,234,0.050618481,4,2.83156504,238
Kazakhstan,KAZ,2.665026643,272,0.026036786,2,2.691063429,274
Libya,LBY,2.080405798,135,0.424305229,8,2.504711027,143
India,IND,2.060447987,171,0.43725933,39,2.497707317,210
China,CHN,1.956465092,1106,0.415971872,182,2.372436964,1288
Turkmenistan,TKM,1.836625717,169,0.013759806,1,1.850385523,170
Brazil,BRA,1.443511311,247,0.269682651,19,1.713193962,266
Gabon,GAB,1.560013554,60,0,0,1.560013554,60
Canada,CAN,1.298386017,2625,0.157984878,28,1.456370895,2653
United Kingdom,GBR,1.336429368,102,0.092411052,18,1.42884042,120
Qatar,QAT,0.803108659,37,0.599538283,14,1.402646942,51
Kuwait,KWT,1.142720519,64.5,0.16823357,7,1.310954089,71.5
Ecuador,ECU,1.154174877,95,0.028590468,2,1.182765345,97
Congo,COG,1.136392316,38,0.000387865,1,1.136780181,39
Cameroon,CMR,1.098176794,31,0,0,1.098176794,31
Uzbekistan,UZB,1.04274483,147,0.001020894,2,1.043765724,149
United Arab Emirates,ARE,0.708490946,80,0.316648766,7,1.025139712,87
Vietnam,VNM,0.919876645,33,0,0,0.919876645,33
Australia,AUS,0.653473159,203,0.079627207,5,0.733100366,208
Argentina,ARG,0.559192546,356,0.094052739,16,0.653245285,372
Colombia,COL,0.612362245,129,0,1,0.612362245,130
Syria,SYR,0.553279832,90,0.032900219,2,0.586180051,92
Thailand,THA,0.402525083,41,0.071038193,13,0.473563276,54
Equatorial Guinea,GNQ,0.420566925,12,0.039737211,1,0.460304136,13
Pakistan,PAK,0.454145303,106,0.003367523,4,0.457512826,110
Norway,NOR,0.333365832,60,0.073867341,12,0.407233173,72
Sudan,SDN,0.392016424,21,0,1,0.392016424,22
Tunisia,TUN,0.371922872,57,0.013852001,3,0.385774873,60
Yemen,YEM,0.283285915,43,0.066827975,1,0.35011389,44
Brunei Darussalam,BRN,0.207404535,7,0.099828986,5,0.307233521,12
Chad,TCD,0.260103546,6,0,1,0.260103546,7
South Africa,ZAF,0.020906704,4,0.226764902,12,0.247671606,16
Ukraine,UKR,0.238517244,102,0.002582078,4,0.241099322,106
Trinidad and Tobago,TTO,0.123043294,8,0.116141485,3,0.239184779,11
Azerbaijan,AZE,0.20115052,13,0.030535309,3,0.231685829,16
Democratic Republic of the Congo,COD,0.214181283,12,0,0,0.214181283,12
Peru,PER,0.132878947,30,0.05970886,4,0.192587807,34
Philippines,PHL,0.169022003,3,0.02051534,5,0.189537343,8
Ghana,GHA,0.155265541,4,0.010844143,1,0.166109684,5
Denmark,DNK,0.132013063,10,0.005544515,2,0.137557578,12
France,FRA,0.013805685,5,0.111873623,24,0.125679308,29
Papua New Guinea,PNG,0.096762549,7,0.021017012,2,0.117779561,9
Cote d'Ivoire,CIV,0.105776471,5,0.00850283,1,0.114279301,6
