cntry_name,cntry_iso,bcm_sum_up,flr_cnt_up,bcm_sum_dn,flr_cnt_dn,bcm_sum_al,flr_cnt_al
Bahrain,BHR,0.110779848,15,0.000924584,2,0.111704432,17
New Zealand,NZL,0.103309621,23,0.000881623,1,0.104191244,24
Cuba,CUB,0.044854733,6,0.057576379,4,0.102431112,10
Poland,POL,0.042939817,13,0.055767295,6,0.098707112,19
Japan,JPN,0.001822584,1,0.071007153,29,0.072829737,30
Australia/Indonesia,TLS,0.07143669,3,0,0,0.07143669,3
Chile,CHL,0.06064749,35,0.004329163,3,0.064976653,38
Guatemala,GTM,0.061993301,2,0,0,0.061993301,2
Spain,ESP,0.002502443,1,0.056020803,18,0.058523246,19
Belarus,BLR,0.003886807,4,0.053200369,5,0.057087176,9
Italy,ITA,0.004042023,4,0.050560088,17,0.054602111,21
Mauritania,MRT,0.054459795,2,0,0,0.054459795,2
Myanmar,MMR,0.044474756,4,0.003091693,1,0.047566449,5
Niger,NER,0.047378354,3,0,0,0.047378354,3
Turkey,TUR,0.025530153,2,0.020644546,5,0.046174699,7
Bolivia,BOL,0.037904611,29,0.005352666,1,0.043257277,30
Singapore,SGP,0,0,0.039818601,11,0.039818601,11
Albania,ALB,0.035683151,2,0.000781368,1,0.036464519,3
Belgium,BEL,0,0,0.035528689,14,0.035528689,14
Romania,ROU,0.020271784,12,0.012479305,3,0.032751089,15
Sri Lanka,LKA,0,0,0.030635726,1,0.030635726,1
South Korea,KOR,0.001038999,1,0.027246978,12,0.028285977,13
Germany,DEU,0.000165671,1,0.027644695,18,0.027810366,19
Taiwan,TWN,0.027135131,5,0,3,0.027135131,8
Netherlands,NLD,0.004371927,7,0.022026652,18,0.026398579,25
Curacao,CUW,0,0,0.024706009,1,0.024706009,1
Finland,FIN,0,0,0.023800673,5,0.023800673,5
Hungary,HUN,0.008012423,10,0.010510784,5,0.018523207,15
Croatia,HRV,0.013069593,13,0.004490895,4,0.017560488,17
Bangladesh,BGD,0.01333328,6,0.002073264,1,0.015406544,7
Greece,GRC,0,0,0.015378093,3,0.015378093,3
Sweden,SWE,0,1,0.014660831,5,0.014660831,6
Portugal,PRT,0,0,0.013419437,6,0.013419437,6
Senegal,SEN,0,0,0.013137405,1,0.013137405,1
Zambia,ZMB,0,0,0.011311942,1,0.011311942,1
Mongolia,MNG,0.011150124,3,0,0,0.011150124,3
Morocco,MAR,0.008796947,1,0,1,0.008796947,2
Slovakia,SVK,0,0,0.008475582,4,0.008475582,4
Jamaica,JAM,0,0,0.007431798,1,0.007431798,1
Serbia,SRB,0.005921877,3,0.00144701,3,0.007368887,6
Kyrgyzstan,KGZ,0,0,0.00620405,1,0.00620405,1
Ethiopia,ETH,0.00608183,2,0,0,0.00608183,2
Jordan,JOR,0,2,0.005186499,1,0.005186499,3
Czech Republic,CZE,0.000281334,1,0.004646824,4,0.004928158,5
Guyana,GUY,0.004637627,1,0,0,0.004637627,1
Nicaragua,NIC,0.003236256,1,0,0,0.003236256,1
Lithuania,LTU,0,0,0.002641779,2,0.002641779,2
Georgia,GEO,0.002492451,1,0,0,0.002492451,1
Mozambique,MOZ,0.002350031,3,0,0,0.002350031,3
Bulgaria,BGR,0,0,0.002056445,1,0.002056445,1
Austria,AUT,0,1,0.001794185,1,0.001794185,2
Palestinian Territory,PSE,0.001091817,1,0,0,0.001091817,1
Rwanda,RWA,0.000895478,1,0,0,0.000895478,1
Afghanistan,AFG,0.000866857,2,0,0,0.000866857,2
North Korea,PRK,0,0,0.00086437,1,0.00086437,1
Uruguay,URY,0,0,0.000799634,1,0.000799634,1
Israel,ISR,0.000403436,1,0,1,0.000403436,2
Bosnia and Herzegovina,BIH,0,0,0.000280111,1,0.000280111,1
Estonia,EST,0,0,0.000252634,1,0.000252634,1
Greenland,GRL,0.000234804,1,0,0,0.000234804,1
Macedonia,MKD,0.000225061,1,0,0,0.000225061,1
Tajikistan,TJK,0.000140138,1,0,0,0.000140138,1
