cntry_name,cntry_iso,bcm_sum_up,flr_cnt_up,bcm_sum_dn,flr_cnt_dn,bcm_sum_al,flr_cnt_al
Chad,TCD,0.233559147,6,0,1,0.233559147,7
South Africa,ZAF,0.015817598,4,0.17401396,12,0.189831558,16
Azerbaijan,AZE,0.151290772,13,0.03468284,3,0.185973612,16
Democratic Republic of the Congo,COD,0.185849547,12,0,0,0.185849547,12
Ukraine,UKR,0.155714133,102,0.00441162,4,0.160125753,106
Philippines,PHL,0.132062141,3,0.00847554,5,0.140537681,8
Peru,PER,0.09298013,30,0.04586911,4,0.13884924,34
Bahrain,BHR,0.131625753,15,0,2,0.131625753,17
Denmark,DNK,0.109093483,10,0.00293821,2,0.112031693,12
New Zealand,NZL,0.099577208,23,0.00150237,1,0.101079578,24
France,FRA,0.012544569,5,0.08251123,24,0.095055799,29
Cote d'Ivoire,CIV,0.075285743,5,0.00304995,1,0.078335693,6
Australia/Indonesia,TLS,0.074505252,3,0,0,0.074505252,3
Guatemala,GTM,0.070624903,2,0,0,0.070624903,2
Spain,ESP,0.00586426,1,0.05380696,18,0.05967122,19
Belarus,BLR,0.004906013,4,0.04764559,5,0.052551603,9
Papua New Guinea,PNG,0.03772474,7,0.01241746,2,0.0501422,9
Poland,POL,0.030817609,13,0.01639794,6,0.047215549,19
Cuba,CUB,0.003932474,6,0.03605916,4,0.039991634,10
Mauritania,MRT,0.039728009,2,0,0,0.039728009,2
Myanmar,MMR,0.036071156,4,0.0033967,1,0.039467856,5
Niger,NER,0.039221567,3,0,0,0.039221567,3
Chile,CHL,0.030752604,35,0.00757295,3,0.038325554,38
Japan,JPN,0,1,0.03764094,29,0.03764094,30
Italy,ITA,0.000594253,4,0.03658134,17,0.037175593,21
Bolivia,BOL,0.026430383,29,0.00897853,1,0.035408913,30
Belgium,BEL,0,0,0.03505676,14,0.03505676,14
Turkey,TUR,0.019102433,2,0.0138577,5,0.032960133,7
Curacao,CUW,0,0,0.02809044,1,0.02809044,1
Suriname,SUR,0,0,0.02788303,1,0.02788303,1
Taiwan,TWN,0.023700246,5,0,3,0.023700246,8
Albania,ALB,0.016363417,2,0.00523464,1,0.021598057,3
Hungary,HUN,0.006302027,10,0.01277641,5,0.019078437,15
Romania,ROU,0.009601331,12,0.00928608,3,0.018887411,15
Finland,FIN,0,0,0.0181405,5,0.0181405,5
Netherlands,NLD,0.007743189,7,0.01035209,18,0.018095279,25
Sri Lanka,LKA,0,0,0.01657244,1,0.01657244,1
South Korea,KOR,0,1,0.01602907,12,0.01602907,13
Senegal,SEN,0,0,0.01554165,1,0.01554165,1
Germany,DEU,0.000626041,1,0.01467826,18,0.015304301,19
Mozambique,MOZ,0.011932429,3,0,0,0.011932429,3
Bangladesh,BGD,0.006478671,6,0.0042525,1,0.010731171,7
Singapore,SGP,0,0,0.00962888,11,0.00962888,11
Croatia,HRV,0.006577379,13,0.0028208,4,0.009398179,17
Serbia,SRB,0.006039306,3,0.00101126,3,0.007050566,6
Kyrgyzstan,KGZ,0,0,0.00668227,1,0.00668227,1
Portugal,PRT,0,0,0.00509806,6,0.00509806,6
Greece,GRC,0,0,0.00463785,3,0.00463785,3
Slovakia,SVK,0,0,0.00422504,4,0.00422504,4
Zambia,ZMB,0,0,0.00401071,1,0.00401071,1
Jordan,JOR,0,2,0.00329558,1,0.00329558,3
Mongolia,MNG,0.003226053,3,0,0,0.003226053,3
Jamaica,JAM,0,0,0.0031661,1,0.0031661,1
Sweden,SWE,0.000587996,1,0.00249314,5,0.003081136,6
Israel,ISR,0.00269567,1,0,1,0.00269567,2
Czech Republic,CZE,0.000531404,1,0.00169906,4,0.002230464,5
Estonia,EST,0,0,0.00198558,1,0.00198558,1
Austria,AUT,0,1,0.00185905,1,0.00185905,2
Ethiopia,ETH,0.001564629,2,0,0,0.001564629,2
North Korea,PRK,0,0,0.0013731,1,0.0013731,1
Greenland,GRL,0.001012144,1,0,0,0.001012144,1
Uruguay,URY,0,0,0.00060494,1,0.00060494,1
