cntry_name,cntry_iso,bcm_sum_up,flr_cnt_up,bcm_sum_dn,flr_cnt_dn,bcm_sum_al,flr_cnt_al
Russian Federation,RUS,23.73163118,2226,0.40843079,84,24.14006197,2310
Iraq,IRQ,12.59403638,223,0.57255046,8,13.16658684,231
Iran,IRN,11.02852727,429,1.361540305,13,12.39006758,442
United States,USA,9.476321006,9199,0.387483797,154,9.863804803,9353
Nigeria,NGA,9.439734595,203,0.333784704,5,9.773519299,208
Venezuela,VEN,8.0720223,180,0.766576508,16,8.838598808,196
Algeria,DZA,6.950056247,328,1.819495634,14,8.769551881,342
Libya,LBY,5.680348284,135,0.344273888,8,6.024622172,143
Mexico,MEX,4.267523457,236,0.972187475,15,5.239710932,251
Kazakhstan,KAZ,3.930737023,272,0.022617132,2,3.953354155,274
Indonesia,IDN,3.163507056,272,0.588932839,13,3.752439895,285
Angola,AGO,3.15429801,68,0.09331759,2,3.2476156,70
Egypt,EGY,2.556298293,199,0.361662606,21,2.917960899,220
Saudi Arabia,SAU,1.924754558,528.5,0.890372953,21,2.815127511,549.5
Malaysia,MYS,2.225472369,81,0.418433384,12,2.643905753,93
India,IND,1.896833081,171,0.594939747,39,2.491772828,210
China,CHN,1.93055875,1106,0.55261139,182,2.48317014,1288
Turkmenistan,TKM,2.424896802,169,0.054499128,1,2.47939593,170
Oman,OMN,2.063002399,234,0.050952687,4,2.113955086,238
Qatar,QAT,0.802147498,37,1.119819092,14,1.92196659,51
Uzbekistan,UZB,1.815758031,147,0.017154926,2,1.832912957,149
Brazil,BRA,1.587724972,247,0.206258899,19,1.793983871,266
Kuwait,KWT,1.122518704,64.5,0.256555914,7,1.379074618,71.5
United Kingdom,GBR,1.283603637,102,0.080219312,18,1.363822949,120
Canada,CAN,1.247838482,2625,0.098406481,28,1.346244963,2653
Gabon,GAB,1.33417733,60,0,0,1.33417733,60
Congo,COG,1.111694564,38,0,1,1.111694564,39
Yemen,YEM,0.988895044,43,0.114444705,1,1.103339749,44
United Arab Emirates,ARE,0.819867185,80,0.237545875,7,1.05741306,87
Colombia,COL,0.98021791,129,0,1,0.98021791,130
Vietnam,VNM,0.946038088,33,0,0,0.946038088,33
Ecuador,ECU,0.789956485,95,0.041536814,2,0.831493299,97
Australia,AUS,0.488809577,203,0.33838426,5,0.827193837,208
Cameroon,CMR,0.764254785,31,0,0,0.764254785,31
Syria,SYR,0.704267356,90,0.014465587,2,0.718732943,92
Argentina,ARG,0.601414716,356,0.11309157,16,0.714506286,372
Tunisia,TUN,0.646832013,57,0.024299004,3,0.671131017,60
Equatorial Guinea,GNQ,0.639854599,12,0.023650651,1,0.66350525,13
Thailand,THA,0.5287505,41,0.113399533,13,0.642150033,54
