cntry_name,cntry_iso,bcm_sum_up,flr_cnt_up,bcm_sum_dn,flr_cnt_dn,bcm_sum_al,flr_cnt_al
Pakistan,PAK,0.535005085,106,0.002897352,4,0.537902437,110
Trinidad and Tobago,TTO,0.210506739,8,0.227751982,3,0.438258721,11
Azerbaijan,AZE,0.33606233,13,0.048273873,3,0.384336203,16
Sudan,SDN,0.358912881,21,0,1,0.358912881,22
Norway,NOR,0.291923373,60,0.059833815,12,0.351757188,72
Ukraine,UKR,0.292161866,102,0.00533944,4,0.297501306,106
South Africa,ZAF,0.039018767,4,0.243517234,12,0.282536001,16
Brunei Darussalam,BRN,0.091602987,7,0.158442475,5,0.250045462,12
Democratic Republic of the Congo,COD,0.218045473,12,0,0,0.218045473,12
Peru,PER,0.124224324,30,0.051269832,4,0.175494156,34
Australia/Indonesia,TLS,0.15864005,3,0,0,0.15864005,3
Spain,ESP,0.000791055,1,0.131816768,18,0.132607823,19
Philippines,PHL,0.122964502,3,0.009381301,5,0.132345803,8
New Zealand,NZL,0.122638286,23,0.000287233,1,0.122925519,24
Cote d'Ivoire,CIV,0.106358541,5,0.010836452,1,0.117194993,6
France,FRA,0.010685461,5,0.09543529,24,0.106120751,29
Chad,TCD,0.103599754,6,0.00015549,1,0.103755244,7
Cuba,CUB,0.05049259,6,0.051326395,4,0.101818985,10
Denmark,DNK,0.087330397,10,0.005247847,2,0.092578244,12
Japan,JPN,0.002040359,1,0.078498858,29,0.080539217,30
Myanmar,MMR,0.070906222,4,0.004147285,1,0.075053507,5
Poland,POL,0.020019671,13,0.047875115,6,0.067894786,19
Bolivia,BOL,0.063452972,29,0.000592658,1,0.06404563,30
Papua New Guinea,PNG,0.055134855,7,0.008090978,2,0.063225833,9
Mauritania,MRT,0.055491259,2,0,0,0.055491259,2
Bahrain,BHR,0.051036314,15,0.002348698,2,0.053385012,17
Niger,NER,0.052800276,3,0,0,0.052800276,3
Curacao,CUW,0,0,0.0497005,1,0.0497005,1
Italy,ITA,0.004487695,4,0.044627651,17,0.049115346,21
Taiwan,TWN,0.038665043,5,0.001676306,3,0.040341349,8
Mozambique,MOZ,0.03900412,3,0,0,0.03900412,3
Belgium,BEL,0,0,0.038366661,14,0.038366661,14
Ghana,GHA,0.035289615,4,0.002596126,1,0.037885741,5
Belarus,BLR,0.001982484,4,0.034943382,5,0.036925866,9
Romania,ROU,0.028223154,12,0.005278738,3,0.033501892,15
Chile,CHL,0.022949803,35,0.006396224,3,0.029346027,38
Sri Lanka,LKA,0,0,0.029171041,1,0.029171041,1
Finland,FIN,0,0,0.027079249,5,0.027079249,5
South Korea,KOR,0,1,0.024622867,12,0.024622867,13
Singapore,SGP,0,0,0.022830368,11,0.022830368,11
Portugal,PRT,0,0,0.022502914,6,0.022502914,6
Netherlands,NLD,0.005665597,7,0.016160548,18,0.021826145,25
Greece,GRC,0,0,0.015537558,3,0.015537558,3
Hungary,HUN,0.007700352,10,0.006577362,5,0.014277714,15
Croatia,HRV,0.00652033,13,0.007483056,4,0.014003386,17
Germany,DEU,0,1,0.013987449,18,0.013987449,19
Serbia,SRB,0.010383674,3,0.002677616,3,0.01306129,6
Bangladesh,BGD,0.008587258,6,0.002354859,1,0.010942117,7
Sweden,SWE,0.001068461,1,0.009870642,5,0.010939103,6
Guatemala,GTM,0.010206475,2,0,0,0.010206475,2
Turkey,TUR,0.000626409,2,0.009390556,5,0.010016965,7
Senegal,SEN,0,0,0.00709374,1,0.00709374,1
Mongolia,MNG,0.006504402,3,0,0,0.006504402,3
Morocco,MAR,0,1,0.006451995,1,0.006451995,2
Jordan,JOR,0.000411156,2,0.005209981,1,0.005621137,3
North Korea,PRK,0,0,0.004145583,1,0.004145583,1
Slovakia,SVK,0,0,0.003461453,4,0.003461453,4
Austria,AUT,0,1,0.002842741,1,0.002842741,2
Lithuania,LTU,0,0,0.002428676,2,0.002428676,2
Albania,ALB,0,2,0.0020246,1,0.0020246,3
Czech Republic,CZE,0,1,0.002006122,4,0.002006122,5
Palestinian Territory,PSE,0.001737797,1,0,0,0.001737797,1
Zambia,ZMB,0,0,0.001533078,1,0.001533078,1
Uruguay,URY,0,0,0.001485532,1,0.001485532,1
Georgia,GEO,0.001427651,1,0,0,0.001427651,1
Tanzania,TZA,0.000820675,2,0,0,0.000820675,2
Bosnia and Herzegovina,BIH,0,0,0.000657026,1,0.000657026,1
Bulgaria,BGR,0,0,0.000440345,1,0.000440345,1
Jamaica,JAM,0,0,0.000399712,1,0.000399712,1
Switzerland,CHE,0,0,0.000332491,3,0.000332491,3
Dominican Republic,DOM,0,0,0.000321615,1,0.000321615,1
Estonia,EST,0,0,0.000258145,1,0.000258145,1
Israel,ISR,0,1,0.0000592,1,0.0000592,2
