cntry_name,cntry_iso,bcm_sum_up,flr_cnt_up,bcm_sum_dn,flr_cnt_dn,bcm_sum_al,flr_cnt_al
Ukraine,UKR,0.240490887,102,0.002844862,4,0.243335749,106
Democratic Republic of the Congo,COD,0.224121779,12,0,0,0.224121779,12
Brunei Darussalam,BRN,0.109729014,7,0.099309799,5,0.209038813,12
Philippines,PHL,0.165297604,3,0.041077469,5,0.206375073,8
Spain,ESP,0.00342526,1,0.197428717,18,0.200853977,19
Cuba,CUB,0.087226329,6,0.098102584,4,0.185328913,10
Chad,TCD,0.164516796,6,0.000235247,1,0.164752043,7
Denmark,DNK,0.11240687,10,0.010798299,2,0.123205169,12
France,FRA,0.022868746,5,0.097404974,24,0.12027372,29
Ghana,GHA,0.117436979,4,0.00052231,1,0.117959289,5
Australia/Indonesia,TLS,0.099567343,3,0,0,0.099567343,3
Cote d'Ivoire,CIV,0.088005824,5,0.010936752,1,0.098942576,6
Niger,NER,0.091049707,3,0,0,0.091049707,3
New Zealand,NZL,0.072099981,23,0.000664162,1,0.072764143,24
Myanmar,MMR,0.070481426,4,0.002141469,1,0.072622895,5
Belarus,BLR,0.002123201,4,0.066154294,5,0.068277495,9
Singapore,SGP,0,0,0.064743903,11,0.064743903,11
Romania,ROU,0.040325375,12,0.020640149,3,0.060965524,15
Japan,JPN,0.000630825,1,0.059390747,29,0.060021572,30
Italy,ITA,0.00190045,4,0.053519796,17,0.055420246,21
Bolivia,BOL,0.050504862,29,0.000301147,1,0.050806009,30
Belgium,BEL,0,0,0.044280443,14,0.044280443,14
Bahrain,BHR,0.041775718,15,0.000438835,2,0.042214553,17
Germany,DEU,0,1,0.039969568,18,0.039969568,19
Chile,CHL,0.032911036,35,0.006225404,3,0.03913644,38
Mauritania,MRT,0.036653267,2,0,0,0.036653267,2
Poland,POL,0.008596352,13,0.025259222,6,0.033855574,19
Taiwan,TWN,0.028077504,5,0.002174153,3,0.030251657,8
Curacao,CUW,0,0,0.023936814,1,0.023936814,1
Guatemala,GTM,0.023252331,2,0,0,0.023252331,2
Sri Lanka,LKA,0,0,0.022970337,1,0.022970337,1
Portugal,PRT,0,0,0.020965679,6,0.020965679,6
Netherlands,NLD,0.004886676,7,0.015863401,18,0.020750077,25
Bangladesh,BGD,0.015736613,6,0.001650534,1,0.017387147,7
Turkey,TUR,0.005061467,2,0.011104554,5,0.016166021,7
South Korea,KOR,0,1,0.015573037,12,0.015573037,13
Greece,GRC,0,0,0.015276326,3,0.015276326,3
Morocco,MAR,0,1,0.015007455,1,0.015007455,2
Serbia,SRB,0.009949874,3,0.003452749,3,0.013402623,6
Croatia,HRV,0.009373785,13,0.003816208,4,0.013189993,17
Mongolia,MNG,0.012967392,3,0,0,0.012967392,3
Mozambique,MOZ,0.011267355,3,0,0,0.011267355,3
Albania,ALB,0.006042902,2,0.005204375,1,0.011247277,3
Sweden,SWE,0.000476261,1,0.010548094,5,0.011024355,6
Hungary,HUN,0.003475628,10,0.007519364,5,0.010994992,15
Slovakia,SVK,0,0,0.008821281,4,0.008821281,4
Finland,FIN,0,0,0.006240119,5,0.006240119,5
North Korea,PRK,0,0,0.004846034,1,0.004846034,1
Estonia,EST,0,0,0.00472281,1,0.00472281,1
Zambia,ZMB,0,0,0.004657147,1,0.004657147,1
Senegal,SEN,0,0,0.004105839,1,0.004105839,1
Jordan,JOR,0.002012914,2,0.001621906,1,0.00363482,3
Uruguay,URY,0,0,0.003527526,1,0.003527526,1
Kyrgyzstan,KGZ,0,0,0.002988429,1,0.002988429,1
Georgia,GEO,0.002299033,1,0,0,0.002299033,1
Jamaica,JAM,0,0,0.002069847,1,0.002069847,1
Czech Republic,CZE,0,1,0.002005725,4,0.002005725,5
Austria,AUT,0.000464244,1,0.001447781,1,0.001912025,2
Lithuania,LTU,0,0,0.001408466,2,0.001408466,2
Tanzania,TZA,0.000797078,2,0,0,0.000797078,2
Bosnia and Herzegovina,BIH,0,0,0.000652899,1,0.000652899,1
Bulgaria,BGR,0,0,0.000512603,1,0.000512603,1
Palestinian Territory,PSE,0.000368797,1,0,0,0.000368797,1
Dominican Republic,DOM,0,0,0.000175119,1,0.000175119,1
Switzerland,CHE,0,0,0.000153676,3,0.000153676,3
Israel,ISR,0,1,0.0000403,1,0.0000403,2
