cntry_name,cntry_iso,bcm_sum_up,flr_cnt_up,bcm_sum_dn,flr_cnt_dn,bcm_sum_al,flr_cnt_al
Russian Federation,RUS,19.55983181,2226,0.459171064,84,20.01900287,2310
Iraq,IRQ,13.89262836,223,0.256040319,8,14.14866868,231
Iran,IRN,12.14711039,429,1.249516424,13,13.39662682,442
United States,USA,11.28160932,9199,0.40141249,154,11.68302181,9353
Venezuela,VEN,9.854383942,180,0.879211642,16,10.73359558,196
Algeria,DZA,7.682890981,328,1.730066812,14,9.412957793,342
Nigeria,NGA,8.251511333,203,0.248222177,5,8.49973351,208
Mexico,MEX,4.830294892,236,1.032015229,15,5.862310121,251
Kazakhstan,KAZ,3.905604049,272,0.033204378,2,3.938808427,274
Malaysia,MYS,3.292603035,81,0.374043401,12,3.666646436,93
Angola,AGO,3.401116535,68,0.093869303,2,3.494985838,70
Indonesia,IDN,2.770669238,272,0.478423608,13,3.249092846,285
Egypt,EGY,2.671932553,199,0.393954308,21,3.065886861,220
Libya,LBY,2.568134162,135,0.412746696,8,2.980880858,143
Oman,OMN,2.537464058,234,0.042419091,4,2.579883149,238
Saudi Arabia,SAU,1.923386668,528.5,0.642818533,21,2.566205201,549.5
China,CHN,2.056294977,1106,0.507837914,182,2.564132891,1288
India,IND,1.858533917,171,0.570965192,39,2.429499109,210
Canada,CAN,2.041454565,2625,0.12565303,28,2.167107595,2653
Turkmenistan,TKM,1.969334293,169,0.057152052,1,2.026486345,170
Brazil,BRA,1.526763954,247,0.216718991,19,1.743482945,266
Qatar,QAT,0.751126053,37,0.868824466,14,1.619950519,51
Kuwait,KWT,1.389442319,64.5,0.206900054,7,1.596342373,71.5
Gabon,GAB,1.469141881,60,0,0,1.469141881,60
United Kingdom,GBR,1.33767076,102,0.05578807,18,1.39345883,120
Uzbekistan,UZB,1.294511766,147,0.006122337,2,1.300634103,149
Congo,COG,1.272318096,38,0,1,1.272318096,39
Yemen,YEM,1.101893676,43,0.092030167,1,1.193923843,44
Australia,AUS,1.021836383,203,0.102055391,5,1.123891774,208
United Arab Emirates,ARE,0.773276424,80,0.341243948,7,1.114520372,87
Vietnam,VNM,1.070707055,33,0,0,1.070707055,33
Ecuador,ECU,0.994844365,95,0.038384272,2,1.033228637,97
Cameroon,CMR,0.890184527,31,0,0,0.890184527,31
Argentina,ARG,0.736472958,356,0.14406502,16,0.880537978,372
Colombia,COL,0.859660308,129,0,1,0.859660308,130
Equatorial Guinea,GNQ,0.632563608,12,0.029689972,1,0.66225358,13
Tunisia,TUN,0.596184425,57,0.02229233,3,0.618476755,60
Sudan,SDN,0.473966519,21,0,1,0.473966519,22
Pakistan,PAK,0.459825124,106,0.006250081,4,0.466075205,110
Thailand,THA,0.391498651,41,0.061427666,13,0.452926317,54
Syria,SYR,0.385452141,90,0.039879699,2,0.42533184,92
Norway,NOR,0.311331247,60,0.060704537,12,0.372035784,72
Azerbaijan,AZE,0.309600922,13,0.02707681,3,0.336677732,16
Trinidad and Tobago,TTO,0.177575484,8,0.157798851,3,0.335374335,11
Papua New Guinea,PNG,0.070429236,7,0.225860524,2,0.29628976,9
South Africa,ZAF,0.027779057,4,0.226364865,12,0.254143922,16
Peru,PER,0.191301811,30,0.06257022,4,0.253872031,34
