cntry_name,cntry_iso,bcm_sum_up,flr_cnt_up,bcm_sum_dn,flr_cnt_dn,bcm_sum_al,flr_cnt_al
Russian Federation,RUS,20.40244129,953,3.978577555,232,24.38101885,1185
Iraq,IRQ,17.91950348,172,0.254026008,9,18.17352949,181
United States,USA,17.2089186,2652,0.513790411,79,17.72270901,2731
Iran,IRN,13.78298923,230,1.207168516,18,14.99015774,248
Venezuela,VEN,9.542751437,162,1.201104741,18,10.74385618,180
Algeria,DZA,8.492727554,177,1.482087537,16,9.974815092,193
Nigeria,NGA,7.518791698,167,0.33188784,7,7.850679538,174
Mexico,MEX,4.485009799,115,0.901625772,15,5.38663557,130
Libya,LBY,4.91365614,86,0.289322242,8,5.202978381,94
Malaysia,MYS,1.952464836,57,0.790537846,19,2.743002682,76
Oman,OMN,2.616277356,106,0.036693892,2,2.652971248,108
Saudi Arabia,SAU,2.083378324,156,0.554709859,23,2.638088183,179
Egypt,EGY,2.246449397,104,0.354007228,18,2.600456624,122
Angola,AGO,2.348201941,50,0.04311577,2,2.391317711,52
China,CHN,2.001458666,316,0.230778992,63,2.232237658,379
Indonesia,IDN,1.848431365,151,0.331128437,14,2.179559802,165
India,IND,1.305087092,72,0.511650675,37,1.816737767,109
Congo,COG,1.723033951,37,0,0,1.723033951,37
Qatar,QAT,0.722066842,31,0.961958982,21,1.684025823,52
Kazakhstan,KAZ,1.568264684,77,0.018666512,3,1.586931196,80
Gabon,GAB,1.464946248,50,0,0,1.464946248,50
Australia,AUS,0.984657874,42,0.430345563,11,1.415003437,53
Turkmenistan,TKM,1.340282158,45,0.050095183,3,1.390377341,48
Brazil,BRA,1.136173534,63,0.210221131,16,1.346394665,79
United Kingdom,GBR,1.111664777,76,0.092192337,11,1.203857113,87
Canada,CAN,1.057929213,266,0.118708584,21,1.176637797,287
Cameroon,CMR,1.042228702,24,0.002213017,1,1.044441719,25
Argentina,ARG,0.928433517,110,0.102898186,11,1.031331703,121
United Arab Emirates,ARE,0.729189815,39,0.298851132,9,1.028040947,48
Syria,SYR,0.932081843,45,0.043539598,1,0.975621441,46
Ecuador,ECU,0.919581345,62,0.044211606,2,0.963792951,64
Kuwait,KWT,0.711427957,40,0.112395584,7,0.823823541,47
Vietnam,VNM,0.781158538,27,0.014393097,1,0.795551635,28
Yemen,YEM,0.705617196,20,0.020702143,1,0.726319338,21
Uzbekistan,UZB,0.624722993,52,0,0,0.624722993,52
Colombia,COL,0.535325631,44,0.001638226,1,0.536963857,45
Trinidad and Tobago,TTO,0.066314075,6,0.362713759,4,0.429027833,10
Equatorial Guinea,GNQ,0.377963816,9,0.023146719,2,0.401110536,11
Thailand,THA,0.314871254,24,0.036156864,6,0.351028118,30
Brunei,BRN,0.258394811,4,0.063067973,3,0.321462784,7
,,0.162043791,0,0.14020855,0,0.302252341,0
Pakistan,PAK,0.2472206,48,0.053676892,3,0.300897491,51
Sudan,SDN,0.278223191,12,0.005169621,1,0.283392812,13
Azerbaijan,AZE,0.222875855,11,0.055298851,2,0.278174706,13
Tunisia,TUN,0.246938388,24,0.015316527,3,0.262254916,27
Democratic Republic of the Congo,COD,0.216484891,9,0,0,0.216484891,9
South Africa,ZAF,0.022183324,1,0.174521302,11,0.196704627,12
Bahrain,BHR,0.170882402,15,0.007054465,1,0.177936867,16
Chad,TCD,0.170013427,6,0,0,0.170013427,6
Norway,NOR,0.127608121,29,0.028085194,6,0.155693315,35
