cntry_name,cntry_iso,bcm_sum_up,flr_cnt_up,bcm_sum_dn,flr_cnt_dn,bcm_sum_al,flr_cnt_al
Ghana,GHA,0.138632957,4,0,0,0.138632957,4
Hungary,HUN,0.121319894,11,0.015635777,5,0.136955671,16
Ukraine,UKR,0.115405241,26,0.005643158,3,0.121048399,29
Peru,PER,0.065418318,11,0.041381305,3,0.106799622,14
Philippines,PHL,0.084027923,2,0.011380628,1,0.095408551,3
Belarus,BLR,0.003903039,1,0.084184492,4,0.088087531,5
France,FRA,0.011100042,2,0.073278047,15,0.08437809,17
Spain,ESP,0,0,0.079139868,12,0.079139868,12
Denmark,DNK,0.069584785,7,0.000371706,1,0.069956491,8
Turkey,TUR,0.01990559,3,0.044176975,5,0.064082566,8
Guatemala,GTM,0.061863766,2,0,0,0.061863766,2
Ivory Coast,CIV,0.049336053,4,0.005389716,2,0.054725769,6
Poland,POL,0.035861585,6,0.013958995,2,0.04982058,8
New Zealand,NZL,0.04764473,6,0,0,0.04764473,6
Cuba,CUB,0.016425469,2,0.0302758,3,0.046701269,5
Bolivia,BOL,0.028976219,3,0.013925947,3,0.042902166,6
Saudi-Kuwaiti Neutral Zone,SAUKWTNZ,0.040241789,1,0,0,0.040241789,1
Italy,ITA,0.001077276,1,0.038635365,7,0.039712641,8
Australia - East Timor,TLS,0.037720454,2,0,0,0.037720454,2
Chile,CHL,0.024557468,4,0.012072085,2,0.036629553,6
Papua New Guinea,PNG,0.026069676,3,0.00814534,2,0.034215016,5
Japan,JPN,0,0,0.031278592,9,0.031278592,9
Niger,NER,0.0298144,2,0,0,0.0298144,2
Myanmar,MMR,0.022950485,3,0.004224073,1,0.027174558,4
South Korea,KOR,0,0,0.02657672,5,0.02657672,5
Belgium,BEL,0,0,0.022714581,6,0.022714581,6
Germany,DEU,0,0,0.021252048,7,0.021252048,7
Suriname,SUR,0,0,0.021250339,1,0.021250339,1
Bangladesh,BGD,0.014180816,2,0.006126373,3,0.020307189,5
Taiwan,TWN,0.017617304,4,8.03855E-05,1,0.017697689,5
Romania,ROU,0.012220071,7,0.004237898,1,0.016457969,8
Senegal,SEN,0,0,0.015434688,1,0.015434688,1
Portugal,PRT,0,0,0.014118177,2,0.014118177,2
Croatia,HRV,0.004796236,2,0.008333816,1,0.013130052,3
Netherlands,NLD,0.003138707,2,0.005474845,5,0.008613553,7
Sweden,SWE,0,0,0.007359977,3,0.007359977,3
Curacao,CUW,0,0,0.007146164,1,0.007146164,1
Zambia,ZMB,0,0,0.00677567,1,0.00677567,1
Finland,FIN,0,0,0.006763465,5,0.006763465,5
Singapore,SGP,0,0,0.00617754,3,0.00617754,3
Jordan,JOR,0.00046425,1,0.005687731,1,0.006151981,2
Greece,GRC,0.000611138,1,0.003981086,2,0.004592224,3
Czech Republic,CZE,0.0019806,1,0.002575371,1,0.00455597,2
Sri Lanka,LKA,0,0,0.004131259,1,0.004131259,1
Serbia,SRB,0,0,0.003019948,3,0.003019948,3
Slovakia,SVK,0,0,0.002930783,1,0.002930783,1
Albania,ALB,0.002406253,1,0,0,0.002406253,1
Kyrgyzstan,KGZ,0,0,0.002218987,1,0.002218987,1
Nicaragua,NIC,0,0,0.001220125,1,0.001220125,1
Mozambique,MOZ,0.001051448,1,0,0,0.001051448,1
Palestinian Territory,PSE,0.000438866,1,0,0,0.000438866,1
