cntry_name,cntry_iso,bcm_sum_up,flr_cnt_up,bcm_sum_dn,flr_cnt_dn,bcm_sum_al,flr_cnt_al
Russian Federation,RUS,20.99916831,2226,0.482441162,84,21.48160947,2310
Iraq,IRQ,13.20465147,223,0.424381623,8,13.62903309,231
Iran,IRN,11.04071232,429,1.290070429,13,12.33078275,442
Venezuela,VEN,9.149864835,180,0.861859234,16,10.01172407,196
United States,USA,9.145361397,9199,0.375399,154,9.520760397,9353
Nigeria,NGA,9.179721186,203,0.301614109,5,9.481335295,208
Algeria,DZA,7.459303354,328,1.594680195,14,9.053983549,342
Mexico,MEX,4.291291593,236,0.963757716,15,5.255049309,251
Libya,LBY,3.94410094,135,0.28716319,8,4.23126413,143
Kazakhstan,KAZ,3.740607983,272,0.012176916,2,3.752784899,274
Indonesia,IDN,2.838787629,272,0.497344903,13,3.336132532,285
Angola,AGO,2.977325588,68,0.206989724,2,3.184315312,70
Malaysia,MYS,2.737327203,81,0.438210937,12,3.17553814,93
Saudi Arabia,SAU,1.982150127,528.5,0.760052284,21,2.742202411,549.5
Egypt,EGY,2.30558607,199,0.339607814,21,2.645193884,220
China,CHN,1.88097032,1106,0.613663346,182,2.494633666,1288
Oman,OMN,2.303616723,234,0.045358625,4,2.348975348,238
Turkmenistan,TKM,2.230604233,169,0.063030577,1,2.29363481,170
India,IND,1.724182151,171,0.535548738,39,2.259730889,210
Qatar,QAT,0.820053317,37,0.962319789,14,1.782373106,51
Canada,CAN,1.518920289,2625,0.160820712,28,1.679741001,2653
Kuwait,KWT,1.286002851,64.5,0.245156285,7,1.531159136,71.5
Brazil,BRA,1.33447503,247,0.1717431,19,1.50621813,266
Uzbekistan,UZB,1.485416569,147,0.019032544,2,1.504449113,149
Congo,COG,1.448433595,38,0,1,1.448433595,39
United Kingdom,GBR,1.337588147,102,0.065280697,18,1.402868844,120
United Arab Emirates,ARE,1.070144701,80,0.294858752,7,1.365003453,87
Gabon,GAB,1.359271415,60,0,0,1.359271415,60
Yemen,YEM,1.096233675,43,0.058370789,1,1.154604464,44
Vietnam,VNM,1.080994,33,0,0,1.080994,33
Colombia,COL,0.879737432,129,0.001271713,1,0.881009145,130
Cameroon,CMR,0.824822391,31,0,0,0.824822391,31
Ecuador,ECU,0.788339498,95,0.032535247,2,0.820874745,97
Argentina,ARG,0.686615062,356,0.128092612,16,0.814707674,372
Australia,AUS,0.484540076,203,0.306939064,5,0.79147914,208
Equatorial Guinea,GNQ,0.643509107,12,0.034884866,1,0.678393973,13
Pakistan,PAK,0.608144896,106,0.003231746,4,0.611376642,110
Tunisia,TUN,0.586537741,57,0.011178929,3,0.59771667,60
Thailand,THA,0.425334119,41,0.035843189,13,0.461177308,54
Azerbaijan,AZE,0.435389003,13,0.02429903,3,0.459688033,16
Syria,SYR,0.423365821,90,0.034290882,2,0.457656703,92
Norway,NOR,0.403209012,60,0.050495941,12,0.453704953,72
Sudan,SDN,0.441911888,21,0,1,0.441911888,22
Trinidad and Tobago,TTO,0.193825887,8,0.202596343,3,0.39642223,11
South Africa,ZAF,0.027294239,4,0.248066005,12,0.275360244,16
Ukraine,UKR,0.229455226,102,0.00182805,4,0.231283276,106
Brunei Darussalam,BRN,0.132440208,7,0.07445905,5,0.206899258,12
Democratic Republic of the Congo,COD,0.199468165,12,0,0,0.199468165,12
Peru,PER,0.133367294,30,0.054758115,4,0.188125409,34
Spain,ESP,0.001656225,1,0.159264367,18,0.160920592,19
Australia/Indonesia,TLS,0.141613549,3,0,0,0.141613549,3
Cuba,CUB,0.052639284,6,0.087619374,4,0.140258658,10
Philippines,PHL,0.134617848,3,0.005204263,5,0.139822111,8
